index,importance,sport,frequency,how_alone,how_small_groups,how_big_groups,independence,interdependence,sex,age,education
513,7,Soccer,5,False,False,False,4.16666666666667,4.66666666666667,m,22,7
527,6,Bodybuilding,5,False,True,False,5.33333333333333,5.16666666666667,m,18,8
529,7,Power Sport,5,False,False,False,4.5,5,m,21,7
533,7,Volleyball,3,False,True,True,4.16666666666667,4.83333333333333,m,21,7
538,7,Power Sport,7,True,False,False,4.25,5.08333333333333,m,23,6
540,5,MMA,5,True,True,False,3.41666666666667,3.91666666666667,m,20,7
548,7,Bodybuilding,5,True,False,False,3.41666666666667,5.83333333333333,f,40,5
550,7,Running,6,True,False,False,3.25,5.75,f,46,8
552,7,Fitness Sport,5,True,False,False,3.25,5.08333333333333,m,42,5
553,6,Chinese Martial Arts,4,True,True,False,3.33333333333333,6.33333333333333,m,44,7
557,7,Track and Field,8,False,True,False,3.66666666666667,4.66666666666667,m,22,7
560,7,Basketball,8,False,True,True,5.58333333333333,5.16666666666667,f,20,7
561,5,Basketball,5,True,True,False,4.83333333333333,5.91666666666667,m,18,9
562,6,Bodybuilding,6,True,False,False,5.16666666666667,5.66666666666667,f,31,5
563,7,Soccer,7,False,False,False,4.08333333333333,3.91666666666667,m,20,7
565,6,Soccer,3,False,True,False,4,3.83333333333333,m,22,7
577,7,Soccer,5,False,True,False,4.83333333333333,4.75,f,20,7
578,7,Gymnastics,6,False,True,False,5.41666666666667,5.58333333333333,f,19,6
579,7,Bodybuilding,7,False,False,False,3.5,5.58333333333333,m,17,9
580,6,Soccer,4,False,False,True,4.33333333333333,4.83333333333333,m,19,8
582,7,Track and Field,6,False,True,False,5.66666666666667,6.58333333333333,m,21,7
584,6,Soccer,5,False,False,True,4.5,4.33333333333333,m,20,5
588,7,Handball,4,False,False,True,2.75,4.66666666666667,f,29,5
596,7,Swimming,4,False,True,False,4.25,5.75,m,23,7
600,7,Soccer,4,False,True,True,5,4.08333333333333,m,24,8
603,5,Handball,3,False,True,True,4.91666666666667,5.08333333333333,m,43,8
605,7,Handball,4,False,False,True,4.91666666666667,6.08333333333333,m,25,7
611,7,Handball,4,False,False,False,4.91666666666667,5.58333333333333,m,35,7
613,7,Basketball,4,True,False,False,5,5.16666666666667,m,18,4
617,7,Bodybuilding,6,True,False,False,5.41666666666667,4,m,29,7
618,5,Fitness Sport,2,False,True,False,5.08333333333333,4.41666666666667,f,26,6
621,6,Soccer,4,False,False,True,3.41666666666667,3.25,m,25,5
622,6,Soccer,5,True,False,False,4.16666666666667,4.91666666666667,m,22,8
624,5,Handball,2,False,False,True,4.58333333333333,4,m,42,8
626,7,Basketball,7,False,False,False,5.41666666666667,4.91666666666667,m,23,7
627,6,Fitness Sport,4,False,False,False,4.91666666666667,4.5,f,22,4
628,6,BJJ,5,True,False,True,3,4.58333333333333,m,21,8
630,4,Cycling,1,True,False,False,3.91666666666667,3.83333333333333,m,53,8
631,5,Gymnastics,3,False,True,False,5,5.25,f,29,9
634,7,Soccer,5,False,True,True,5,5.25,m,26,5
635,7,Volleyball,4,False,True,False,4.41666666666667,5.33333333333333,f,18,7
638,6,Gymnastics,4,True,False,True,4,4.66666666666667,f,33,8
639,7,Soccer,5,True,True,True,4.75,3.66666666666667,m,23,7
641,5,Dance,8,False,True,False,5.25,5.25,f,56,8
642,7,Basketball,6,False,True,False,5.91666666666667,5.5,f,14,9
643,6,Soccer,5,False,False,True,5.83333333333333,4.91666666666667,f,24,8
645,7,Running,5,False,False,False,4.16666666666667,4.91666666666667,m,34,5
650,6,Soccer,6,False,True,False,4.41666666666667,4.66666666666667,m,21,7
653,5,Running,3,True,True,False,4.91666666666667,5.08333333333333,m,56,4
662,7,Gymnastics,3,False,True,False,5.16666666666667,5.41666666666667,f,27,8
664,7,Gymnastics,4,True,True,False,3.5,6.25,f,24,8
669,6,Basketball,4,False,False,True,4.33333333333333,5.5,m,21,8
670,5,Soccer,4,True,False,True,3.33333333333333,4.41666666666667,m,25,8
671,7,Soccer,5,False,True,False,5.33333333333333,4.33333333333333,f,23,7
672,7,Cycling,7,True,True,False,4.33333333333333,5.08333333333333,m,26,7
673,6,Track and Field,4,False,True,False,5.5,6,m,21,7
675,7,Basketball,6,False,True,False,4,4.66666666666667,m,25,7
677,6,Judo,4,True,True,True,5.58333333333333,4.58333333333333,f,23,7
678,7,Soccer,4,False,True,True,4.66666666666667,5.33333333333333,m,26,8
679,7,Soccer,4,False,False,False,4.58333333333333,4.83333333333333,m,26,8
681,6,Handball,4,False,True,False,4.08333333333333,4.66666666666667,m,25,8
683,7,Ice-Skating,6,False,True,False,4.33333333333333,5.33333333333333,f,23,8
685,7,Dance,8,False,True,False,4.5,6.08333333333333,f,27,8
688,7,Triathlon,7,True,True,False,3.41666666666667,5.66666666666667,m,23,7
690,7,Soccer,6,True,True,True,5.33333333333333,5.91666666666667,m,25,6
691,2,Parkour,5,True,True,False,4.25,4.83333333333333,m,21,7
692,7,Soccer,4,False,False,True,4.25,5.33333333333333,f,20,7
695,7,Soccer,4,True,True,True,5.41666666666667,4.58333333333333,m,25,8
696,7,Track and Field,7,False,True,False,4.91666666666667,4.5,f,20,7
698,7,Climbing,6,False,True,False,5.08333333333333,5.5,m,21,7
699,7,Football,6,False,True,True,6,6,m,25,7
701,7,Basketball,6,False,True,True,4.08333333333333,5.25,m,22,7
703,7,Volleyball,4,False,False,True,5.08333333333333,5.58333333333333,f,24,9
704,7,Soccer,7,True,True,False,3.08333333333333,4.91666666666667,m,20,7
705,6,Table Tennis,4,False,True,False,4.58333333333333,3.66666666666667,m,27,9
706,7,Track and Field,4,False,True,False,4.25,5.33333333333333,m,24,7
707,7,Soccer,7,False,False,True,5,4.5,m,23,7
709,7,Soccer,5,False,True,True,4.66666666666667,5.75,m,23,8
710,7,Track and Field,7,False,True,False,4.91666666666667,6,f,19,7
715,7,Soccer,7,False,True,False,4.5,4.5,m,25,7
716,7,Swimming,4,False,True,False,5.16666666666667,5.25,m,24,8
717,6,Slacklining,5,False,True,False,4.58333333333333,4.58333333333333,m,22,7
719,6,Handball,6,False,True,True,4.25,5.25,m,24,8
720,7,Tennis,5,False,False,False,4.41666666666667,5.91666666666667,m,25,9
721,7,Equestrianism,7,True,True,False,4.08333333333333,3.58333333333333,f,36,8
723,7,Handball,4,False,True,True,5,4.66666666666667,m,21,7
724,7,Soccer,6,False,False,True,4,5.5,m,26,7
725,7,Soccer,5,False,False,False,4.5,4.08333333333333,f,23,7
726,7,Handball,8,True,True,True,4,5.25,m,23,8
728,7,Equestrianism,7,False,True,False,4,5.91666666666667,f,19,7
730,7,Basketball,4,False,True,True,3.33333333333333,5.5,m,28,8
731,7,Volleyball,5,False,False,False,4,5.16666666666667,f,24,7
733,7,Track and Field,5,False,True,False,4.75,4.58333333333333,f,19,7
734,6,Handball,4,False,True,False,5,4.08333333333333,f,20,7
735,7,Handball,6,False,True,False,3.41666666666667,4,f,21,7
736,6,Gymnastics,4,False,True,False,5.66666666666667,4.25,f,21,7
737,7,Rowing,3,False,True,True,4.83333333333333,4.83333333333333,m,24,8
739,6,Track and Field,4,False,True,False,3.66666666666667,4.41666666666667,f,22,8
740,7,Tennis,4,False,True,True,5.25,4.08333333333333,f,24,7
742,7,Soccer,4,False,True,False,4.75,4.58333333333333,m,27,9
745,7,Dance,4,True,True,True,5.33333333333333,5,f,24,8
746,7,Soccer,4,False,False,False,5.5,5.16666666666667,f,22,7
747,6,Gymnastics,5,False,True,False,4.08333333333333,6,f,22,8
748,7,Soccer,5,False,False,False,5.83333333333333,6.16666666666667,m,20,7
750,7,Soccer,5,False,True,False,5,6,m,20,7
752,7,Hockey,6,True,True,True,4.83333333333333,5,f,25,7
755,6,Soccer,4,False,True,False,4.75,5.33333333333333,f,24,8
756,7,Soccer,7,False,False,False,5.5,4.25,m,20,7
757,7,Gymnastics,4,False,True,False,4.91666666666667,4.66666666666667,f,23,7
758,7,Rowing,8,True,True,False,4.91666666666667,4.75,f,21,7
759,7,Hockey,7,True,False,False,5.5,5.08333333333333,f,21,7
760,6,Handball,4,False,True,True,4.58333333333333,4.16666666666667,f,23,8
762,6,Rugby,6,True,True,False,5.41666666666667,5.41666666666667,f,24,7
764,7,Beach Volleyball,4,False,True,True,3.83333333333333,5.58333333333333,m,27,8
766,7,Handball,6,False,True,False,6.08333333333333,3.75,f,24,8
768,7,Volleyball,7,False,True,False,4.66666666666667,4.91666666666667,m,20,7
769,7,Handball,7,False,True,True,5.41666666666667,5.91666666666667,m,21,7
771,7,Triathlon,6,True,True,False,4,4.75,m,26,8
773,7,Gymnastics,5,False,True,False,5,5.5,f,24,6
776,7,Soccer,8,False,True,True,5.75,5.16666666666667,f,19,7
781,7,Handball,6,False,False,True,5.75,5.91666666666667,m,22,7
782,7,Fitness Sport,7,False,True,False,5.5,6.25,f,23,9
783,7,Track and Field,4,False,True,True,4.66666666666667,4.83333333333333,f,22,7
784,7,Dance,4,False,True,True,4.91666666666667,5,f,23,7
785,7,Basketball,5,False,True,False,4.41666666666667,3.75,f,21,7
786,7,Equestrianism,7,True,True,False,4.33333333333333,5.16666666666667,f,19,7
787,7,Soccer,6,False,True,True,4.66666666666667,6.08333333333333,m,28,7
788,7,Basketball,8,False,False,True,4.33333333333333,4.91666666666667,f,26,7
789,7,Track and Field,4,False,True,True,5.08333333333333,5.66666666666667,f,22,7
790,7,Judo,5,False,True,False,4.83333333333333,5.08333333333333,m,20,7
791,7,Track and Field,6,True,True,False,3.66666666666667,4.33333333333333,f,22,7
792,6,Fitness Sport,4,False,True,True,5,4.58333333333333,m,24,7
793,7,Track and Field,8,False,False,False,5.08333333333333,5.08333333333333,m,21,7
794,7,Swimming,7,True,False,False,4.41666666666667,5.33333333333333,f,23,7
795,7,Soccer,8,True,True,True,6.08333333333333,5.5,f,23,8
797,7,Kickboxing,7,True,False,False,6,5.16666666666667,m,23,7
798,7,Climbing,7,True,False,False,3.08333333333333,6.33333333333333,f,22,7
802,7,Soccer,5,False,True,True,4.75,4,m,28,7
803,7,Swimming,7,True,True,False,4.75,6.25,m,23,9
805,7,Power Sport,7,True,True,True,4.66666666666667,5.33333333333333,m,22,7
806,7,Basketball,8,True,False,False,5.25,5,m,20,7
808,7,Hockey,4,False,False,False,4.83333333333333,4,m,18,7
810,7,Swimming,7,True,False,False,4.75,5,m,24,7
811,7,Handball,8,False,False,True,5.08333333333333,5.33333333333333,f,20,7
815,7,Soccer,6,True,True,True,4.16666666666667,5.66666666666667,m,23,7
816,7,Handball,6,False,False,True,5.08333333333333,4.16666666666667,f,20,7
819,6,Soccer,4,False,False,False,4.75,4.83333333333333,m,25,8
820,6,Taekwondo,4,False,True,False,4.58333333333333,4.75,f,19,7
821,7,Gymnastics,6,False,True,False,4.25,4.25,f,29,7
823,7,Dance,5,True,True,False,5.41666666666667,5,f,23,7
825,7,Gymnastics,5,False,True,True,5.66666666666667,5.25,f,23,7
826,6,Running,4,False,False,False,3.41666666666667,6.16666666666667,m,25,8
827,7,Fitness Sport,7,True,False,False,4.5,5.75,m,25,7
828,7,Volleyball,6,False,True,False,3.5,6.33333333333333,f,22,7
829,7,Kickboxing,3,False,True,False,5.58333333333333,5.75,m,25,7
830,7,Swimming,4,False,True,False,4.75,4.58333333333333,f,18,7
833,7,Judo,8,False,True,False,4.91666666666667,4.41666666666667,m,21,7
834,7,Soccer,5,False,False,True,5.25,5.41666666666667,f,19,7
847,7,Soccer,6,False,True,True,5.66666666666667,5.5,m,24,7
848,6,Karate,5,True,False,False,4.5,6.08333333333333,f,21,7
849,6,Swimming,5,False,True,False,5.16666666666667,4.25,f,21,8
850,6,Fitness Sport,6,True,True,False,4,5.16666666666667,m,27,7
851,7,Handball,6,False,True,False,4.91666666666667,5.91666666666667,m,20,7
852,7,Climbing,7,False,False,True,3.75,5.58333333333333,m,19,7
856,7,Soccer,7,False,True,False,4.41666666666667,5.75,f,23,7
858,7,Handball,8,False,True,True,4.5,5.16666666666667,f,22,3
859,6,Basketball,4,True,True,True,3.16666666666667,5.41666666666667,m,29,8
861,7,Gymnastics,4,False,False,True,5.08333333333333,5.41666666666667,f,21,7
862,7,Soccer,4,False,False,True,4.5,5.33333333333333,m,25,7
863,7,Basketball,6,True,True,False,5.75,4.08333333333333,f,20,7
864,7,Soccer,8,False,False,False,5.66666666666667,4.08333333333333,m,20,7
865,7,Dance,7,True,True,False,3.25,5.58333333333333,f,39,8
871,7,Soccer,4,False,True,False,4.91666666666667,3.83333333333333,m,19,7
873,7,Climbing,5,False,True,False,4.16666666666667,5.58333333333333,m,28,7
876,7,Soccer,6,False,True,True,3.66666666666667,5.08333333333333,f,22,8
877,7,Handball,4,False,True,False,4.83333333333333,6.08333333333333,f,19,7
879,7,Dance,4,True,True,False,4.58333333333333,5.16666666666667,m,22,7
880,7,Trampoline,4,True,True,False,3.66666666666667,4.25,m,26,7
882,7,Volleyball,6,False,True,False,3.83333333333333,5.5,f,24,8
883,6,Soccer,7,False,True,False,4.66666666666667,5.08333333333333,f,23,7
884,7,Muay Thai,6,True,True,False,4.25,4.66666666666667,m,23,7
885,7,Volleyball,4,False,True,False,4.33333333333333,4.66666666666667,f,20,7
887,7,Fitness Sport,7,False,False,False,3.66666666666667,5.25,m,20,7
892,7,Soccer,6,True,True,True,5.5,4.75,m,22,7
893,7,Snowboarding,4,True,True,False,5.58333333333333,4.83333333333333,f,31,7
894,7,Dance,2,False,True,True,5,4.75,f,23,8
895,7,Handball,7,False,False,True,5.25,5.58333333333333,m,21,7
898,7,Gymnastics,6,False,True,True,4.16666666666667,4.66666666666667,f,20,7
902,7,Acrobatics,4,False,True,False,5,4.75,f,21,7
904,7,Snowboarding,6,False,True,False,3.58333333333333,4.91666666666667,f,20,7
905,6,Soccer,5,False,True,False,5.58333333333333,4.83333333333333,m,22,7
906,7,Basketball,6,False,True,False,5.66666666666667,6.33333333333333,m,23,7
907,7,Martial Arts Tricking,5,True,True,True,4.33333333333333,5.33333333333333,m,23,8
911,7,Basketball,4,False,False,True,4.66666666666667,4.83333333333333,m,22,7
912,1,Soccer,6,True,False,True,3.83333333333333,5.75,m,25,7
914,7,Running,4,True,False,True,4.33333333333333,5.08333333333333,m,22,7
918,7,Running,5,True,True,False,3.75,4.41666666666667,f,42,5
924,7,Soccer,6,False,True,False,4.75,4,m,19,7
925,6,Soccer,8,False,True,False,5.16666666666667,5.58333333333333,m,22,7
926,5,Basketball,2,True,True,False,4.5,4.33333333333333,f,22,7
927,6,Running,5,True,False,False,3.41666666666667,5.16666666666667,f,40,8
950,7,Soccer,6,False,False,False,5.16666666666667,5.33333333333333,m,22,7
960,7,Skiing,5,False,False,True,4.25,4.91666666666667,f,22,7
